rank,name,csv_h_index,openalex_h_index,h_index_status,csv_dept,rush_directory_dept,dept_status,directory_match_type,directory_match_score,rush_directory_name,rush_directory_title,rush_directory_college,evidence_url,openalex_id
104,Audrey French,41,41,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Audrey French, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/audrey-french-md,https://openalex.org/A5067117619
105,Malabendu Jana,41,41,match,Neurological Sciences,Neurological Sciences,match,exact_name,1.000,"Malabendu Jana, PhD",Assistant Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/malabendu-jana-phd,https://openalex.org/A5112402008
106,Donald M. Jensen,41,41,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Donald M. Jensen, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/donald-m-jensen-md,https://openalex.org/A5114910019
107,Michael Marshall,41,41,match,Pathology,Pathology,match,exact_name,1.000,"Michael Marshall, MD, PhD",Assistant Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/michael-marshall-md-phd-0,https://openalex.org/A5075308601
108,Rachel E. Miller,41,41,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Rachel E. Miller, PhD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/rachel-e-miller-phd,https://openalex.org/A5045203576
109,Aloka L. Patel,41,41,match,Pediatrics,Pediatrics,match,exact_name,1.000,"Aloka L. Patel, MD",The Glore Family Professor of Neonatology,Rush Medical College,https://www.rushu.rush.edu/faculty/aloka-l-patel-md,https://openalex.org/A5049779139
110,Kenneth J. Tuman,41,41,match,Anesthesiology,,not_found,not_found,0.857,,,,,https://openalex.org/A5112830668
111,John W. Burns,40,40,match,Psychiatry & Behavioral Sciences,Psychiatry & Behavioral Sciences,match,exact_name,1.000,"John W. Burns, PhD","The Cynthia Oudejans Harris, MD, Professor of Psychiatry",Rush Medical College,https://www.rushu.rush.edu/faculty/john-w-burns-phd,https://openalex.org/A5102741675
112,Graeme Forrest,40,40,match,Internal Medicine,,not_found,not_found,0.848,,,,,https://openalex.org/A5035007857
113,Deborah A. Hall,40,40,match,Neurological Sciences,Neurological Sciences,match,exact_name,1.000,"Deborah A. Hall, MD, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/deborah-hall-md-phd,https://openalex.org/A5101571010
114,Imke Janssen,40,40,match,Family & Preventive Medicine,Family & Preventive Medicine,match,exact_name,1.000,"Imke Janssen, PhD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/imke-janssen-phd,https://openalex.org/A5028736438
115,Meenakshi Jolly,40,40,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Meenakshi Jolly, MD, MS","The George W. Stuppy, MD, Chair of Arthritis",Rush Medical College,https://www.rushu.rush.edu/faculty/meenakshi-jolly-md-ms,https://openalex.org/A5044615953
